01-01-2010 00:38:26,Road - Sanding / Salting Required
01-01-2010 01:19:18,Water Service Line-Turn On
01-01-2010 01:19:48,Water Service Line-Leaking
01-01-2010 01:24:18,Water Service Line-Leaking
01-01-2010 01:42:26,Watermain-Possible Break
01-01-2010 01:54:21,Sewer Service Line - Blocked
01-01-2010 02:03:13,Road - Sanding / Salting Required
01-01-2010 02:12:01,Road - Sanding / Salting Required
01-01-2010 03:15:00,Res / Organic&Recycle / Missed
01-01-2010 04:32:33,Litter / Sidewalk & Blvd / Pick Up Request
01-01-2010 04:42:11,Traffic Signal Maintenance
01-01-2010 05:15:09,Sidewalk - Damaged / Concrete
01-01-2010 08:03:45,Res / Nite Garbage / Missed
01-01-2010 08:13:08,Res / Nite Organic&Recycle / Missed
01-01-2010 08:37:30,Water Service Line-Turn On
01-01-2010 08:40:19,Operator / Operations Complaint
01-01-2010 08:41:17,Res Above Comm / Nite Garbage / Missed
01-01-2010 08:43:47,Res Above Comm / Nite Garbage / Missed
01-01-2010 08:45:04,Res Above Comm / Nite Recycle / Missed
01-01-2010 09:12:30,Water Service Line-Turn Off
01-01-2010 09:18:40,Road - Sanding / Salting Required
01-01-2010 09:36:34,Sewer Service Line - Blocked
01-01-2010 09:49:09,Watermain-Possible Break
01-01-2010 09:51:43,Sewer Service Line - Blocked
01-01-2010 09:58:58,Watermain-Possible Break
01-01-2010 10:03:29,Watermain-Possible Break
01-01-2010 10:09:43,Traffic Signal Maintenance
01-01-2010 10:24:57,All / White Goods / Pick Up Request
01-01-2010 10:52:38,Res / Recycle / Missed
01-01-2010 10:54:09,Water Service Line-Turn Off
01-01-2010 10:58:37,Multi-Res / Nite Garbage Pile / Missed
01-01-2010 11:00:24,Sewer Service Line - Blocked
01-01-2010 11:12:46,Water Service Line-Turn Off
01-01-2010 11:16:45,Road -  Pot Hole
01-01-2010 11:17:53,Comm / Nite Garbage Yellow Bag / Missed
01-01-2010 11:24:46,Commercial / Nite Recycle Cart / Missed
01-01-2010 11:26:36,Res / Garbage / Missed
01-01-2010 11:45:17,Water Service Line-Turn Off
01-01-2010 11:54:33,Res / Nite Recycle / Missed
01-01-2010 12:10:21,Water Meter-Leaking
01-01-2010 12:21:13,Res Above Comm / Nite Recycle / Missed
01-01-2010 12:27:30,Res / Organic&Garbage / Missed
01-01-2010 12:36:54,Sewer Service Line - Blocked
01-01-2010 12:42:19,Res Above Comm / Nite Garbage / Missed
01-01-2010 13:04:54,All / White Goods / Pick Up Request
01-01-2010 13:08:06,Res / Organic Green Bin / Whole Street / Missed
01-01-2010 13:08:13,Sewer Service Line - Tree Root Reimbursement
01-01-2010 13:15:10,Driveway-Blocked By Windrow
01-01-2010 13:33:31,Watermain-Possible Break
01-01-2010 13:33:55,Water Service Line-Leaking
01-01-2010 13:44:07,Res / Org&Garbage Whole Street / Missed
01-01-2010 13:51:33,Sewer Service Line - Blocked
01-01-2010 13:53:57,Res Above Comm / Nite Garbage / Missed
01-01-2010 13:55:33,Res Above Comm / Nite Recycle / Missed
01-01-2010 14:01:29,All / White Goods / Pick Up Request
01-01-2010 14:27:14,Sewer Service Line - Blocked
01-01-2010 14:43:56,Water Service Line-Turn On
01-01-2010 14:43:57,Investigate Regulatory Signs
01-01-2010 14:46:01,Sewer Service Line - Blocked
01-01-2010 15:23:57,Watermain-Possible Break
01-01-2010 15:30:48,All / White Goods / Pick Up Request
01-01-2010 15:31:37,Traffic Signal Maintenance
01-01-2010 15:33:49,All / White Goods / Pick Up Request
01-01-2010 15:57:06,All / White Goods / Pick Up Request
01-01-2010 15:57:39,Litter / Bin / Overflow or Missed
01-01-2010 16:03:41,Operational Comment or Complaint
01-01-2010 16:56:08,All / White Goods / Pick Up Request
01-01-2010 17:05:38,Res / Nite Recycle Whole Street / Missed
01-01-2010 17:27:25,All / White Goods / Pick Up Request
01-01-2010 18:10:51,Res / Nite Organic / Missed
01-01-2010 18:29:17,Catch Basin - Blocked / Flooding
01-01-2010 18:49:48,Road - Sanding / Salting Required
01-01-2010 18:57:37,Res Above Comm / Nite Recycle / Missed
01-01-2010 19:01:00,All / White Goods / Pick Up Request
01-01-2010 19:10:22,Hydrant-Leaking
01-01-2010 19:31:03,Sewer Service Line - Blocked
01-01-2010 19:33:36,Residential Furniture / Missed
01-01-2010 19:57:35,Operator / Operations Complaint
01-01-2010 20:18:15,All / White Goods / Pick Up Request
01-01-2010 20:23:23,Bridge Icy Needs Sand/Salt
01-01-2010 20:27:55,Traffic Signal Maintenance
01-01-2010 20:38:07,Water Valve-Leaking
01-01-2010 21:29:15,All / White Goods / Pick Up Request
01-01-2010 21:43:30,Res / Nite Garbage / Missed
01-01-2010 21:50:17,Water Service Line-No Water
01-01-2010 21:59:14,Water Service Line-Leaking
01-01-2010 22:08:07,Res / Recycle / Missed
01-01-2010 22:19:32,Road - Winter Request/ Complaint
01-01-2010 23:06:09,Water Service Line-Turn Off
01-01-2010 23:12:10,Maintenance Holes -Damage / Repair
01-02-2010 01:18:55,All / White Goods / Pick Up Request
01-02-2010 03:05:12,Watermain-Possible Break
01-02-2010 05:42:47,Watermain-Possible Break
01-02-2010 06:28:50,Water Service Line-Turn Off
01-02-2010 07:53:16,Water Service Line-Turn Off
01-02-2010 07:55:27,All / White Goods / Pick Up Request
01-02-2010 07:57:25,Watermain-Possible Break
01-02-2010 08:01:22,Sidewalk - Damaged / Concrete
01-02-2010 08:08:05,Res / Garbage / Missed
01-02-2010 08:10:19,Sewer Service Line - Blocked
01-02-2010 08:11:51,Water Service Line-Leaking
01-02-2010 08:20:14,Res / Nite Org&Garbage Whole Street / Missed
01-02-2010 08:21:35,Res / Organic Green Bin / Whole Street / Missed
01-02-2010 08:33:10,Watermain-Possible Break
01-02-2010 08:34:07,Road - Damaged
01-02-2010 08:35:09,Sewer Service Line - Blocked
01-02-2010 08:35:45,Guardrail-Damaged
01-02-2010 08:43:31,Res / Organic Green Bin / Missed
01-02-2010 08:46:29,Res / Garbage / Missed
01-02-2010 08:48:36,Bus Stop Icy Needs Sand/Salt
01-02-2010 08:55:59,Missing/Damaged Signs
01-02-2010 08:57:36,Res / Garbage / Missed
01-02-2010 08:58:19,"Sidewalk Icy, Needs Sand/Salt"
01-02-2010 09:03:08,Res / Recycle / Missed
01-02-2010 09:04:19,Water Service Line-Turn On
01-02-2010 09:06:53,Water Service Line-Turn Off
01-02-2010 09:07:23,Sewer Service Line - Blocked
01-02-2010 09:10:32,Res / Recycle / Missed
01-02-2010 09:13:05,Res / Garbage / Missed
01-02-2010 09:13:38,Res / Organic Green Bin / Missed
01-02-2010 09:16:04,Road - Sanding / Salting Required
01-02-2010 09:16:35,Sewer Service Line - Blocked
01-02-2010 09:18:19,Road - Sanding / Salting Required
01-02-2010 09:19:43,Water Service Line-Check Water Service Box
01-02-2010 09:20:16,All / White Goods / Pick Up Request
01-02-2010 09:22:40,Res / Garbage / Missed
01-02-2010 09:29:38,All / White Goods / Pick Up Request
01-02-2010 09:33:39,All / White Goods / Pick Up Request
01-02-2010 09:34:18,Res / Organic Green Bin / Whole Street / Missed
01-02-2010 09:41:58,Res / Organic Green Bin / Missed
01-02-2010 09:48:51,Operator / Operations Complaint
01-02-2010 09:49:38,Res / Organic Green Bin / Missed
01-02-2010 09:52:12,Road - Sinking
01-02-2010 09:53:35,Watermain-Possible Break
01-02-2010 09:54:37,Res Above Comm / Nite Garbage / Missed
01-02-2010 09:56:35,Res / Recycle / Whole Street / Missed
01-02-2010 10:02:15,Res / Garbage / Missed
01-02-2010 10:03:44,Water Service Line-Turn Off
01-02-2010 10:06:20,Watermain-Possible Break
01-02-2010 10:07:05,Road - Sanding / Salting Required
01-02-2010 10:10:11,Water Service Line-Turn Off
01-02-2010 10:13:39,Boulevard - Plough Damage
01-02-2010 10:17:29,Comm / Nite Recycle Blue Box / Missed
01-02-2010 10:18:14,Res / Organic&Garbage / Missed
01-02-2010 10:24:57,Res / Garbage / Missed
01-02-2010 10:25:19,Residential Furniture / Missed
01-02-2010 10:29:32,"Sidewalk Icy, Needs Sand/Salt"
01-02-2010 10:34:29,Res / Organic Green Bin / Missed
01-02-2010 10:34:53,Res / Garbage / Missed
01-02-2010 10:35:03,Res / Garbage / Missed
